safra,quinzena_fim,regiao,tipo_secao,cana_mil_t,acucar_mil_t,etanol_anidro_mil_m3,etanol_hidratado_mil_m3,etanol_total_mil_m3,atr_mil_t,atr_kg_t_cana,litros_etanol_t_cana,kg_acucar_t_cana,mix_acucar_pct,mix_etanol_pct
2024/2025,2026-04-01,Centro-Sul,acumulado,621927,40179,12366,22595,34961,87745,141.09,43.04,64.6,48.06,51.94
2025/2026,2026-04-01,Centro-Sul,acumulado,611153,40428,12888,20828,33717,84211,137.79,40.12,66.15,50.38,49.62
2024/2025,2026-04-01,São Paulo,acumulado,357449,26055,5615,7941,13556,50476,141.21,37.92,72.89,54.17,45.83
2025/2026,2026-04-01,São Paulo,acumulado,344933,26223,5363,6627,11991,48011,139.19,34.76,76.02,57.32,42.68
2024/2025,2026-04-01,Demais Estados,acumulado,264477,14124,6751,14654,21405,37269,140.92,49.96,53.41,39.77,60.23
2025/2026,2026-04-01,Demais Estados,acumulado,266220,14205,7525,14201,21726,36201,135.98,47.07,53.36,41.18,58.82
2025/2026,2026-04-15,Centro-Sul,quinzenal,16676,735,180,742,923,1725,103.46,33.86,44.08,44.71,55.29
2026/2027,2026-04-15,Centro-Sul,quinzenal,19956,647,350,880,1230,2063,103.36,41.0,32.43,32.93,67.07
2025/2026,2026-04-15,São Paulo,quinzenal,8253,404,63,194,257,860,104.15,31.16,48.94,49.32,50.68
2026/2027,2026-04-15,São Paulo,quinzenal,10424,424,100,262,362,1059,101.6,34.74,40.66,42.0,58.0
2025/2026,2026-04-15,Demais Estados,quinzenal,8423,331,117,548,665,866,102.79,36.5,39.31,40.13,59.87
2026/2027,2026-04-15,Demais Estados,quinzenal,9532,223,250,618,868,1004,105.29,47.84,23.44,23.36,76.64
2025/2026,2026-05-01,Centro-Sul,acumulado,34631,1594,468,1445,1913,3699,106.81,34.54,46.04,45.23,54.77
2026/2027,2026-05-01,Centro-Sul,acumulado,60458,2475,983,2305,3288,6806,112.58,41.07,40.94,38.16,61.84
2025/2026,2026-05-01,São Paulo,acumulado,18282,962,176,407,583,1999,109.34,31.87,52.62,50.51,49.49
2026/2027,2026-05-01,São Paulo,acumulado,34258,1689,406,811,1217,3842,112.15,35.52,49.3,46.14,53.86
2025/2026,2026-05-01,Demais Estados,acumulado,16350,632,292,1038,1331,1700,103.99,37.54,38.68,39.03,60.97
2026/2027,2026-05-01,Demais Estados,acumulado,26199,786,577,1494,2071,2964,113.14,48.34,30.0,27.83,72.17
2025/2026,2026-06-01,Centro-Sul,acumulado,124951,6976,1886,3846,5732,14617,116.98,34.33,55.83,50.09,49.91
2026/2027,2026-06-01,Centro-Sul,acumulado,144707,6838,2579,4962,7541,17326,119.73,41.28,47.26,41.42,58.58
2025/2026,2026-06-01,São Paulo,acumulado,70592,4456,841,1319,2160,8358,118.4,30.6,63.12,55.95,44.05
2026/2027,2026-06-01,São Paulo,acumulado,81127,4557,1146,1728,2874,9683,119.35,35.42,56.17,49.39,50.61
2025/2026,2026-06-01,Demais Estados,acumulado,54359,2520,1045,2527,3573,6258,115.13,39.17,46.35,42.25,57.75
2026/2027,2026-06-01,Demais Estados,acumulado,63580,2281,1433,3234,4667,7644,120.22,48.75,35.88,31.32,68.68
2025/2026,2026-05-31,Centro-Sul,quinzenal,47801,2959,806,1231,2036,5952,124.51,34.91,61.91,52.18,47.82
2026/2027,2026-05-31,Centro-Sul,quinzenal,41550,2201,796,1333,2129,5230,125.87,41.29,52.98,44.17,55.83
2025/2026,2026-05-31,São Paulo,quinzenal,28070,1935,378,487,865,3508,124.96,30.81,68.93,57.89,42.11
2026/2027,2026-05-31,São Paulo,quinzenal,21983,1372,340,422,762,2742,124.71,34.65,62.41,52.52,47.48
2025/2026,2026-05-31,Demais Estados,quinzenal,19731,1025,428,744,1171,2444,123.88,40.74,51.93,43.99,56.01
2026/2027,2026-05-31,Demais Estados,quinzenal,19567,829,456,911,1367,2489,127.18,48.76,42.39,34.98,65.02
