ano_safra,estoque_final,exportacao,consumo,importacao,producao,desaparecimento_total,oferta_total,stock_to_use_pct,balanco
2015,43735,54187,169026,54647,164972,169798,267720,25.75707605507721,-4054
2016,41326,60047,169148,55419,172143,169924,271297,24.32028436242085,2995
2017,50936,65868,173287,55685,194206,174413,291217,29.2042450964091,20919
2018,52192,58285,171979,53189,179132,172780,283257,30.20719990739669,7153
2019,47183,53524,171456,54097,166555,172137,272844,27.41014424557184,-4901
2020,49615,63971,171342,58291,180262,172150,285736,28.82079581760093,8920
2021,47076,64456,174365,56629,180601,175313,286845,26.85254373606065,6236
2022,45555,61932,176846,59185,178756,177530,285017,25.66045175463302,1910
2023,44824,63041,176961,60382,179565,177637,285502,25.23348176337137,2604
2024,42252,64813,175399,57900,180345,176004,283069,24.00627258471398,4946
2025,43523,62648,179925,58332,186056,180469,286640,24.11660728435355,6131
2026,44410,62324,179991,58893,184854,180536,287270,24.59897195019276,4863
